	observed_features	chao1	shannon_entropy	pielou_evenness	faith_pd
DT01-PM02-R-16s-2021	49	49.5	5.03466039	0.896691108	10.18531442
DT01-PM03-R-16s-2021	41	41	4.639558007	0.865984689	11.80354728
DT01-PM04-R-16s-2021	109	111.1428571	6.174909221	0.912343536	17.78242618
DT01-PM05-R-16s-2021	59	59.5	5.053675107	0.8590824	14.12588585
DT01-PM07-R-16s-2021	132	137.625	6.433707601	0.913308865	21.7713374
DT01-PM08-R-16s-2021	60	60	5.372065631	0.909457445	14.02509052
DT01-PM09-R-16s-2021	95	96.875	5.836836678	0.888426935	16.40429507
DT01-PM10-R-16s-2021	78	79.25	5.572023704	0.886502329	16.43493185
DT02-PM03-R-16s-2021	127	130.75	6.609898362	0.945800055	14.34594197
DT02-PM04-R-16s-2021	60	60	5.306439276	0.89834731	10.95830425
DT02-PM06-R-16s-2021	41	41.75	4.723882742	0.881724104	11.05677463
DT02-PM07-R-16s-2021	50	50.5	4.841367486	0.857811986	11.80855331
DT02-PM08-R-16s-2021	208	212.4	7.332601719	0.952231559	23.67525075
DT02-PM10-R-16s-2021	185	195.4615385	7.029624905	0.933377886	22.75065107
DT03-PM01-R-16s-2021	44	44	4.840447314	0.886621109	11.87769596
DT03-PM03-R-16s-2021	33	33	4.537312678	0.899476244	8.267567453
DT03-PM04-R-16s-2021	65	66	5.463508919	0.907202796	12.77986548
DT03-PM05-R-16s-2021	27	27	4.1108874	0.864560391	8.841139249
DT03-PM06-R-16s-2021	47	47	5.03520424	0.906494499	10.65867815
DT03-PM08-R-16s-2021	35	35	4.156165469	0.810281955	10.36604988
DT03-PM09-R-16s-2021	18	18	3.698436785	0.886931248	4.661337594
DT03-PM10-R-16s-2021	21	21	3.077082968	0.700560245	5.026884941
DT04-PM01-R-16s-2021	33	33	3.339021291	0.661927124	3.825222584
DT04-PM04-R-16s-2021	30	30	4.101906842	0.835948298	7.545331591
DT04-PM07-R-16s-2021	85	90	5.727658336	0.893635354	15.54765098
DT04-PM08-R-16s-2021	35	35	4.191105828	0.817093893	10.65383238
DT04-PM09-R-16s-2021	53	53.33333333	5.100071756	0.890388021	11.49811142
NT01-PM01-R-16s-2021	95	96.25	5.7034664	0.868126598	20.76065636
