sampleid	observed_features	shannon_entropy	pielou_evenness
DT01-PM01-S-ITS-2021	196	6.748775497	0.886281373
DT01-PM01-S-ITS-2022	135	5.201269392	0.734973142
DT01-PM02-S-ITS-2021	135	5.250505004	0.741930453
DT01-PM02-S-ITS-2022	162	5.508027588	0.750427813
DT01-PM03-RH-ITS-2022	137	6.41638664	0.903966982
DT01-PM03-S-ITS-2021	307	7.200153767	0.871468302
DT01-PM03-S-ITS-2022	190	6.21177636	0.820593771
DT01-PM04-RH-ITS-2022	151	6.531416944	0.902328231
DT01-PM04-S-ITS-2021	188	5.982776424	0.791939382
DT01-PM04-S-ITS-2022	127	5.914526127	0.846300326
DT01-PM05-RH-ITS-2022	188	5.598502656	0.74107311
DT01-PM05-S-ITS-2021	141	5.74779792	0.805064301
DT01-PM06-RH-ITS-2022	146	6.288826052	0.874684215
DT01-PM06-S-ITS-2021	238	6.486964448	0.821673741
DT01-PM06-S-ITS-2022	101	5.836313811	0.876558791
DT01-PM07-RH-ITS-2022	231	6.587725967	0.839013821
DT01-PM07-S-ITS-2021	97	5.480464173	0.830384325
DT01-PM07-S-ITS-2022	129	6.130056029	0.874319974
DT01-PM08-S-ITS-2021	100	5.629966699	0.847394426
DT01-PM08-S-ITS-2022	89	5.672566095	0.875972761
DT01-PM09-S-ITS-2021	162	5.781546743	0.787692765
DT01-PM09-S-ITS-2022	137	5.855008664	0.82487774
DT02-PM01-S-ITS-2021	91	5.681250048	0.872991599
DT02-PM02-S-ITS-2021	77	5.041128322	0.804419983
DT02-PM02-S-ITS-2022	107	5.489505434	0.814289448
DT02-PM03-S-ITS-2021	111	5.326255348	0.783916595
DT02-PM03-S-ITS-2022	41	3.260911267	0.608656951
DT02-PM04-S-ITS-2021	55	4.10568528	0.710159112
DT02-PM04-S-ITS-2022	86	4.334930036	0.674564495
DT02-PM05-S-ITS-2021	105	5.942041412	0.884990189
DT02-PM05-S-ITS-2022	197	5.813244289	0.762687584
DT02-PM06-S-ITS-2022	106	5.853376962	0.870012807
DT02-PM08-S-ITS-2022	136	5.757998204	0.812420232
DT02-PM09-S-ITS-2022	85	5.462720881	0.85229953
DT02-PM10-S-ITS-2022	84	3.672757447	0.574558052
DT03-PM01-S-ITS-2022	102	5.96579754	0.894097309
DT03-PM02-S-ITS-2022	130	6.56549997	0.934941055
DT03-PM03-S-ITS-2022	96	5.250363933	0.797326322
DT03-PM04-S-ITS-2022	162	6.438388605	0.877182586
DT03-PM07-S-ITS-2022	131	5.595032389	0.795492094
DT03-PM08-S-ITS-2022	66	5.124490813	0.847808848
DT03-PM09-S-ITS-2022	83	5.097314207	0.799573754
DT04-PM01-RH-ITS-2021	164	5.663913903	0.769809564
DT04-PM02-RH-ITS-2021	229	7.007153425	0.893860348
DT04-PM03-S-ITS-2021	121	6.014774792	0.869329915
DT04-PM04-RH-ITS-2021	116	6.244453761	0.910538213
DT04-PM04-S-ITS-2021	79	5.257738203	0.834061084
DT04-PM04-S-ITS-2022	157	6.371400982	0.873438278
DT04-PM05-RH-ITS-2021	158	6.517419119	0.89233499
DT04-PM05-S-ITS-2021	93	5.689133786	0.870010035
DT04-PM05-S-ITS-2022	251	6.282460764	0.78811095
DT04-PM06-RH-ITS-2021	166	6.259208228	0.848701663
DT04-PM06-S-ITS-2021	87	5.406655717	0.839159263
DT04-PM06-S-ITS-2022	137	6.174706464	0.869918083
DT04-PM07-RH-ITS-2021	187	6.352437869	0.841728727
DT04-PM07-S-ITS-2021	117	5.847458953	0.851113324
DT04-PM08-RH-ITS-2021	79	3.300460791	0.523568462
DT04-PM09-RH-ITS-2021	281	6.968004802	0.856606788
DT04-PM09-S-ITS-2021	134	6.231074724	0.881827919
DT04-PM09-S-ITS-2022	110	5.672800057	0.83652841
DT04-PM10-RH-ITS-2021	170	6.21239009	0.838448145
DT04-PM10-S-ITS-2021	114	5.322677771	0.778978991
DT01-PM01-RH-ITS-2021	134	6.044020693	0.855355845
DT01-PM02-RH-ITS-2021	120	6.055209873	0.876691152
DT01-PM03-RH-ITS-2021	113	6.054691964	0.88776145
DT01-PM04-RH-ITS-2021	100	5.908825452	0.88936685
DT01-PM05-RH-ITS-2021	69	5.216725745	0.854007507
DT01-PM06-RH-ITS-2021	167	5.851446003	0.792481087
DT01-PM07-RH-ITS-2021	84	5.070469779	0.793213078
DT01-PM08-RH-ITS-2021	278	6.802857725	0.83789963
DT01-PM09-RH-ITS-2021	199	6.772452003	0.886838406
DT01-PM10-RH-ITS-2021	117	6.016660426	0.875741052
DT02-PM01-RH-ITS-2021	92	5.703706644	0.874323979
DT02-PM01-RH-ITS-2022	120	5.844103704	0.846126578
DT02-PM02-RH-ITS-2021	122	5.720212343	0.825339652
DT02-PM02-RH-ITS-2022	135	5.960976829	0.842324736
DT02-PM03-RH-ITS-2021	123	5.894772909	0.849083269
DT02-PM04-RH-ITS-2021	136	5.622272401	0.793270106
DT02-PM04-RH-ITS-2022	117	6.032334892	0.878022512
DT02-PM05-RH-ITS-2021	114	6.081630935	0.890052514
DT02-PM06-RH-ITS-2021	89	5.048379471	0.779584201
DT02-PM06-RH-ITS-2022	144	6.401614374	0.892842585
DT02-PM07-RH-ITS-2021	159	6.476268367	0.885597159
DT02-PM07-RH-ITS-2022	169	6.213987435	0.839628248
DT02-PM08-RH-ITS-2021	82	2.965987489	0.466529804
DT02-PM09-RH-ITS-2021	96	5.210308891	0.791243517
DT02-PM10-RH-ITS-2021	98	3.489750897	0.527574297
DT02-PM10-RH-ITS-2022	93	5.621056525	0.859599329
DT02-PM14-RH-ITS-2022	108	5.711380086	0.845518165
DT03-PM02-RH-ITS-2021	172	6.414287174	0.863729935
DT03-PM02-RH-ITS-2022	144	6.417516816	0.895060522
DT03-PM03-RH-ITS-2021	210	6.757573856	0.875986361
DT03-PM06-RH-ITS-2022	81	5.744959282	0.906166436
DT03-PM07-RH-ITS-2022	109	5.842944885	0.863295768
DT03-PM08-RH-ITS-2022	133	6.235166075	0.883758536
DT03-PM09-RH-ITS-2022	152	6.340693998	0.874828561
DT03-PM10-RH-ITS-2022	95	5.031473862	0.765842381
NT01-PM01-RH-ITS-2021	114	5.783945893	0.846486023
NT01-PM01-S-ITS-2022	177	6.359659348	0.851633004
NT01-PM02-S-ITS-2022	152	5.572934406	0.768900406
NT01-PM03-S-ITS-2022	153	6.278772012	0.865155914
NT01-PM04-RH-ITS-2021	99	5.331295696	0.804195038
NT01-PM04-S-ITS-2022	122	5.708826741	0.823696883
NT01-PM05-S-ITS-2022	171	6.524890851	0.879619922
NT01-PM06-S-ITS-2022	136	6.115108937	0.86280649
NT01-PM07-S-ITS-2022	117	5.630086673	0.819474206
NT01-PM09-RH-ITS-2021	351	7.187064552	0.850004307
NT01-PM09-S-ITS-2022	148	5.915861213	0.820570009
NT01-PM10-RH-ITS-2021	107	6.107947388	0.906026448
NT01-PM10-S-ITS-2022	173	6.637437003	0.892773223
NT02-PM01-S-ITS-2021	82	4.795408097	0.754285312
NT02-PM01-S-ITS-2022	152	6.573417029	0.906937468
NT02-PM02-S-ITS-2021	69	4.736146708	0.775334001
NT02-PM02-S-ITS-2022	132	6.41170575	0.910185552
NT02-PM03-RH-ITS-2021	73	4.435746698	0.716619131
NT02-PM03-S-ITS-2021	102	5.000397163	0.749412231
NT02-PM03-S-ITS-2022	108	5.54528421	0.820929173
NT02-PM04-S-ITS-2022	142	6.425921005	0.898761998
NT02-PM05-RH-ITS-2021	76	5.229212331	0.836951504
NT02-PM05-S-ITS-2021	184	5.573535245	0.740810706
NT02-PM05-S-ITS-2022	115	5.70191814	0.832945209
NT02-PM06-S-ITS-2021	183	5.540901104	0.737243533
NT02-PM06-S-ITS-2022	212	6.32551339	0.818527239
NT02-PM07-S-ITS-2022	173	5.899494279	0.793515708
NT02-PM08-RH-ITS-2021	88	5.621708623	0.870310107
NT02-PM08-S-ITS-2022	145	6.541160747	0.911036709
NT02-PM09-S-ITS-2022	109	6.121147019	0.904400165
NT02-PM10-RH-ITS-2021	92	5.655084398	0.866870651
NT02-PM10-S-ITS-2022	206	7.019384889	0.913209446
NT03-PM01-RH-ITS-2021	116	6.055152151	0.882935102
NT03-PM01-S-ITS-2022	228	7.070384571	0.90265337
NT03-PM02-RH-ITS-2021	95	5.733357565	0.872676343
NT03-PM02-S-ITS-2022	101	5.949940649	0.893624461
NT03-PM03-RH-ITS-2021	136	6.138289594	0.866077147
NT03-PM03-S-ITS-2022	178	6.161011454	0.824134717
NT03-PM04-S-ITS-2022	119	5.442997825	0.789433167
NT03-PM05-RH-ITS-2021	74	4.968845094	0.800206524
NT03-PM05-S-ITS-2022	100	6.250107944	0.940734984
NT03-PM06-RH-ITS-2021	199	5.741538169	0.751842398
NT03-PM06-S-ITS-2022	120	6.449709185	0.933807926
NT03-PM07-RH-ITS-2021	179	6.453616142	0.862342999
NT03-PM07-RH-ITS-2022	100	6.011791057	0.904864718
NT03-PM07-S-ITS-2022	198	6.911483159	0.905906422
NT03-PM08-RH-ITS-2021	191	4.992144031	0.658817673
NT03-PM08-RH-ITS-2022	91	5.697455374	0.87548174
NT03-PM09-RH-ITS-2021	118	5.387513512	0.782768113
NT03-PM09-RH-ITS-2022	125	6.14822214	0.882631716
NT03-PM09-S-ITS-2022	91	5.85411622	0.899554541
NT03-PM10-RH-ITS-2021	128	6.010500756	0.858642965
NT03-PM10-S-ITS-2022	81	5.101141353	0.804615464
NT03-PM14-RH-ITS-2022	98	5.896587658	0.891435573
NT04-PM01-RH-ITS-2021	154	6.098312798	0.839203514
NT04-PM01-RH-ITS-2022	114	6.069563852	0.888286485
NT04-PM01-S-ITS-2021	113	5.426145719	0.795601662
NT04-PM01-S-ITS-2022	119	6.263893727	0.908493008
NT04-PM02-RH-ITS-2021	186	6.61545587	0.87747931
NT04-PM02-S-ITS-2022	114	6.043356903	0.884451073
NT04-PM03-RH-ITS-2021	184	6.266088456	0.832861947
NT04-PM03-S-ITS-2021	97	5.73782062	0.869378241
