#sample-id	Site	Site2	Ecotype	Region	Year	Host	Niche	Host2	Primer	Altitude	Longitude	Latitude	C	N	S	Ag_ppm	As_ppm	Ba_ppm	Cd_ppm	Co_ppm	Cr_ppm	Cu_ppm	Fe_ppm	Mn_ppm	Mo_ppm	Ni_ppm	P_ppm	Pb_ppm	Sn_ppm	Zn_ppm	NH4_ppm	NO3_ppm	pH_CaCl2	K
NT02-PM01-S-ITS-2021	NT02	NT02-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	661.044495	-67.578439	52.996455	27.9	55	0.51	0	21.21	1.01	1.52	2.53	8.08	2494.95	26.77	1.52	3.03	570.71	13.13	2.02	31.82	51.929	1.0448	0.122	2.93	
NT02-PM02-S-ITS-2021	NT02	NT02-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	661.044495	-67.578439	52.996455	1.9	25.5	0.53	0	7.38	1.05	1.58	1.05	7.91	938.82	39.03	1.58	2.11	232.07	15.3	1.93	16.88	46.249	0.47815	0.0678	2.85	
NT02-PM03-S-ITS-2021	NT02	NT02-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	661.044495	-67.578439	52.996455	8.5	53.4	0.49	0	50.84	0.99	1.48	1.48	5.92	715.7	32.58	1.97	2.96	542.94	22.21	1.97	15.79	48.669	0.7878	0.0993	2.94	
NT02-PM05-S-ITS-2021	NT02	NT02-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	661.044495	-67.578439	52.996455	1.4	47.3	0.46	0	37.57	0.93	1.39	1.39	6.49	1233.77	48.24	0.93	3.25	500.93	18.09	0.93	19.48	53.356	0.80456	0.0903	2.98	
NT02-PM06-S-ITS-2021	NT02	NT02-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	661.044495	-67.578439	52.996455	1.4	47.3	0.46	0	37.57	0.93	1.39	1.39	6.49	1233.77	48.24	0.93	3.25	500.93	18.09	0.93	19.48	53.356	0.80456	0.0903	2.98	
NT04-PM01-S-ITS-2021	NT04	NT04-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	620.538147	-67.522306	52.88233	10.1	38.5	0.51	0	25.54	1.02	2.04	1.53	8.17	4412.67	127.68	1.02	3.58	541.37	9.19	2.72	24.51	51.644	0.83618	0.0812	2.91	
NT04-PM02-S-ITS-2021	NT04	NT04-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	620.538147	-67.522306	52.88233	5.1	47.7	0.51	0	31.06	1.02	1.53	1.53	10.18	2301.43	242.87	1.02	4.58	1023.42	31.57	0.17	20.88	48.914	1.2	0.126	3.03	
NT04-PM03-S-ITS-2021	NT04	NT04-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	620.538147	-67.522306	52.88233	4.1	39.6	0.51	0	12.73	1.02	2.04	2.04	10.69	1379.84	181.26	1.53	4.58	651.73	8.15	2.72	46.84	42.923	0.7851	0.0897	3.11	
NT04-PM04-S-ITS-2021	NT04	NT04-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	620.538147	-67.522306	52.88233	2.4	76.1	0.49	0	17.73	0.99	1.48	2.46	8.37	2152.71	33.99	1.48	4.43	709.36	7.39	1.97	39.9	51.61	1.3569	0.13	2.66	
NT04-PM05-S-ITS-2021	NT04	NT04-H	Natural	Fermont	2021_Heli	Picea mariana	Bulk soil	Soil	ITS	620.538147	-67.522306	52.88233	2	62.9	0.5	0	54.72	1	1.51	1.51	10.04	1997.99	523.09	1	5.02	1124.5	4.02	3.51	77.81	52.112	1.5883	0.152	3.66	
