ASV	Kingdom	Phylum	Class	Order	Family	Genus	Species
3bd7492ea662c9b9ba1ac39b5833205f	Fungi	 Basidiomycota	 Agaricomycetes	 Cantharellales	 Hydnaceae	 Sistotrema	 Sistotrema_sp
38ac44efee90cac83a6385fc3d36e9a7	Fungi	 Basidiomycota	 Agaricomycetes	 Sebacinales	 Sebacinaceae	 Sebacina	 Sebacina_sp
677e8c52865a8cd96be4f4905da1636f	Fungi	 Basidiomycota	 Microbotryomycetes	 Sporidiobolales	 Sporidiobolaceae	 Rhodotorula	 Rhodotorula_mucilaginosa
69eb26596478952760879a10b282f511	Fungi	 Basidiomycota	 Agaricomycetes	 Boletales	 Suillaceae	 Suillus	 Suillus_sp
b4619ebab65ca13c945689af6e2294a7	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales			
b9853bf7d08b37f48ceb66eca42cc787	Fungi	 Ascomycota	 Sordariomycetes	 Hypocreales	 Clavicipitaceae	 Metapochonia	 Metapochonia_bulbillosa
b534da11a58b3aeacb6b94d98123873c	Fungi	 Ascomycota	 Sordariomycetes	 Sordariales	 Chaetomiaceae	 Mycothermus	 Mycothermus_sp
7dd1f7fcce84494777de18f2661f26e8	Fungi	 Basidiomycota	 GS27	 GS27_ord_Incertae_sedis	 GS27_ord_Incertae_sedis_fam_Incertae_sedis	 GS27_ord_Incertae_sedis_gen_Incertae_sedis	 GS27_ord_Incertae_sedis_sp
e0135f5aad6bf640c56ebcd4b08af9cf	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Herpotrichiellaceae_gen_Incertae_sedis	 Herpotrichiellaceae_sp
313cb5ae3b97dc6a622baa8dadbb0a3d	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Cortinariaceae	 Cortinarius	
bce3fd64b61399bddb04894e34c8c40e	Fungi	 Ascomycota	 Archaeorhizomycetes	 Archaeorhizomycetales	 Archaeorhizomycetaceae	 Archaeorhizomyces	 Archaeorhizomyces_sp
5a6ca68b26ba623d395cc08c794c28a6	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Herpotrichiellaceae_gen_Incertae_sedis	 Herpotrichiellaceae_sp
e5762d0d8ddb0ad7906f16ce96fd0e26	Fungi	 Basidiomycota	 Agaricomycetes	 Atheliales	 Tylosporaceae	 Amphinema	 Amphinema_sp
a011873bb3b5e68f10ce45b9f88872c7	Fungi	 Rozellomycota	 Rozellomycota_cls_Incertae_sedis	 Rozellomycota_ord_Incertae_sedis	 Rozellomycota_fam_Incertae_sedis	 Rozellomycota_gen_Incertae_sedis	 Rozellomycota_sp
370850a7182bcac30d941eef1939a064	Fungi	 Ascomycota	 Eurotiomycetes	 Chaetothyriales	 Herpotrichiellaceae	 Capronia	 Capronia_sp
a285181ea55873a699254b4ddcf02d25	Fungi	 Basidiomycota	 Agaricomycetes	 Polyporales	 Phanerochaetaceae	 Phanerochaete	 Phanerochaete_sanguinea
2822a2947afd03524d3b4e3e4b60a19e	Fungi	 Ascomycota	 Lecanoromycetes	 Ostropales			
950079c36f030931ce95a4a38d4f1170	Fungi	 Ascomycota	 Dothideomycetes	 Pleosporales	 Melanommataceae	 Herpotrichia	 Herpotrichia_sp
bafd20022c396cf8ee9be7fb86e895c0	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Phaeotremellaceae	 Phaeotremella	
361475f64f66cd06ddd7d0e04442043a	Fungi	 Ascomycota	 Dothideomycetes	 Mycosphaerellales	 Extremaceae	 Extremus	 Extremus_sp
a63b408e0b31e93200b0106c10ea17e4	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Myxotrichaceae	 Oidiodendron	 Oidiodendron_sp
b3aeede70a311fe0b4f83b1593dbad07	Fungi	 Mortierellomycota	 Mortierellomycetes	 Mortierellales	 Mortierellaceae	 Mortierella	 Mortierella_sp
ef45d60a38e61659519c0f37aaaf6f72	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Leotiaceae	 Pezoloma	 Pezoloma_sp
b055eadd7ef9e987a41576e66b7d5c0f	Fungi	 Ascomycota	 Pezizomycetes	 Pezizales	 Pyronemataceae		
e8eaa7421b844f35280b58bc7c71eacf	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Leotiaceae	 Pezoloma	
7c04e03c429da13eedc9b7ecc945429b	Fungi	 Basidiomycota	 Agaricostilbomycetes	 Agaricostilbales	 Agaricostilbales_fam_Incertae_sedis	 Agaricostilbales_gen_Incertae_sedis	 Agaricostilbales_sp
cc16cd8c8bc44cd4771c65ac6b806070	Fungi	 Ascomycota	 Eurotiomycetes	 Sclerococcales	 Sclerococcaceae	 Sclerococcum	 Sclerococcum_sp
eab844ca6dafe16f486a2e15c5abd6a1	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Leotiaceae		
5e94d3edf2185aa808df4c39ee9e8aa1	Fungi	 Basidiomycota	 Microbotryomycetes	 Microbotryomycetes_ord_Incertae_sedis	 Chrysozymaceae	 Pseudohyphozyma	 Pseudohyphozyma_sp
add09d5c598a5083c1dc70348b0448e8	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Helotiaceae	 Meliniomyces	 Meliniomyces_sp
2560f055c1091b0ddb47c54a57585e00	Fungi	 Fungi_phy_Incertae_sedis	 Fungi_cls_Incertae_sedis	 Fungi_ord_Incertae_sedis	 Fungi_fam_Incertae_sedis	 Fungi_gen_Incertae_sedis	 Fungi_sp
ea84fe0fe0b35fdb38a00cfbc4509408	Fungi	 Basidiomycota	 Tremellomycetes	 Tremellales	 Bulleraceae	 Fonsecazyma	 Fonsecazyma_sp
64272cb65e690f02e7fcc667c80a2891	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Cortinariaceae	 Cortinarius	 Cortinarius_suberi
43bd6732a856522d31f447b57d2c8dc9	Fungi	 Basidiomycota	 Agaricomycetes	 Agaricales	 Mycenaceae	 Mycena	
2defdd26a3321b8e23d1142943c3eddd	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales			
b97b7608db0cb82483717b83b1358918	Fungi	 Chytridiomycota					
3cab1a3b1753e7cfc3d1d7347f19b102	Fungi	 Basidiomycota	 Agaricomycetes	 Atheliales	 Atheliaceae	 Athelia	 Athelia_sp
7a5072ae141a746c22698a3352454448	Fungi	 Basidiomycota	 Agaricomycetes	 Polyporales	 Meripilaceae	 Physisporinus	 Physisporinus_vitreus
834816469cc458c098caed83e66ae662	Fungi	 Basidiomycota	 Agaricomycetes	 Atheliales	 Atheliaceae	 Athelia	 Athelia_sp
6f49ed6f41e687cf2b82ddc9c8f8ef64	Fungi	 Ascomycota	 Leotiomycetes	 Helotiales	 Hyaloscyphaceae	 Hyaloscypha	 Hyaloscypha_sp
13ed17304d7710eccc76933f0c16397f	Fungi	 Ascomycota	 Dothideomycetes	 Mycosphaerellales	 Teratosphaeriaceae	 Monticola	
