accession	function_def	DT02PM02	DT02PM03	DT02PM10	DT04PM03	DT04PM07	DT06PM10	DT08PM01	DT09PM03	DT10PM04	DT10PM09	NT02PM01	NT02PM03	NT02PM04	NT02PM10	NT05PM09	NT06PM03	NT06PM04	NT08PM03	NT09PM08	NT10PM03
K00001	alcohol dehydrogenase [EC:1.1.1.1]	0	2.706608521	0	0	0	3.63001365	2.917667583	1.367247219	3.200745634	0	2.877804849	2.873259345	7.835128012	12.05036794	32.0671357	7.541867577	2.054196122	7.441654616999999	36.82379242	2.672483922
K00002	alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	3.594645088	0	0	0	7.860822905	19.253101647	41.598310048	37.972810553	25.185241135	7.9511073770000005	71.608589295	45.476890215	23.998192803	78.173136415	92.340748727	38.801289874999995	46.135496659	104.985610797	156.39797003	27.468725556
K00003	homoserine dehydrogenase [EC:1.1.1.3]	285.136338219	269.142359059	440.218545459	436.922351366	436.528412623	290.352615402	260.247372539	262.639754677	238.347909541	316.588499136	283.358653129	256.577971699	291.454454393	287.089524539	321.441402905	305.403017027	294.05189588	289.928521856	316.075180855	292.015030806
K00004	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]	29.530409698	40.009270012	57.000287242999995	185.795915728	34.286746875	99.071149522	97.032340848	117.368485379	88.447603516	64.959606629	57.265887026	70.507998572	102.787763795	81.559602476	42.901359446	51.248278727	123.665205395	61.61861617	25.530184189	99.49473535599999
K00005	glycerol dehydrogenase [EC:1.1.1.6]	0	0	0	0	0	11.366115873	10.994399044	13.157005773	18.776925235	3.22451835	18.703779433	9.033643442999999	4.9098485279999995	20.05892401	1.50213029	12.935246041	7.487603894	0.692392808	12.304249404	29.24364699
K00006	glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	0	1.463006237	0	0	0	0	0	0	1.788290434	61.72447271	3.709822422	2.142302928	10.4005284	2.165585344	0	0	1.162573884	0	0	0.960748526
K00007	D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	3.532419936	0.096511747	0	20.06627821	10.70140923	1.362819908	3.663152088	0	5.021935855	2.304657661	11.116902146000001	2.794354204	8.288701632	3.7541210769999998	0	0.356577231	3.311702255	15.380410455	0.5871272	2.707760405
K00008	L-iditol 2-dehydrogenase [EC:1.1.1.14]	0	3.57762622	0	0	4.248107983	44.713096665	36.852528262	10.474449927	11.514220823	27.218977836	18.195494624	28.361518588	20.826703494	14.717110906	3.259267319	8.705245987	13.957168522	66.818119117	14.111944001	30.955532232
K00009	mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	6.24278906	3.8321260099999996	61.70404559	0	14.91733402	13.407178279	8.103521369	12.063666069	3.321110807	37.65527033	6.91389288	9.225966503999999	9.858788936	6.546752212	0.994180735	1.132183071	6.135708255	5.019725543	0	3.798356402
K00010	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	20.427590995	235.580956531	100.178424351	148.550354221	408.16527594	244.744890647	221.61369604	240.144028999	266.669493435	310.762175484	248.660766918	205.080373466	192.06193459	204.280100796	81.770492954	151.560831759	244.30011166	133.433927215	81.13956790900001	406.207687253
