sampleid	percent	reads	taxon_id	Kingdom	Phylum
DT02PM02	0.1796	11535	28890	Archaea	Euryarchaeota
DT02PM02	0.022966	1475	2283796	Archaea	Candidatus Thermoplasmatota
DT02PM02	0.018824	1209	928852	Archaea	Candidatus Bathyarchaeota
DT02PM02	0.016551	1063	28889	Archaea	Crenarchaeota
DT02PM02	0.016426	1055	651137	Archaea	Thaumarchaeota
DT02PM02	0.005808	373	1706441	Archaea	Candidatus Thorarchaeota
DT02PM02	0.005621	361	1801616	Archaea	Candidatus Woesearchaeota
DT02PM02	0.005263	338	1655434	Archaea	Candidatus Lokiarchaeota
DT02PM02	0.003067	197	1936272	Archaea	Candidatus Heimdallarchaeota
DT02PM02	0.002585	166	2582935	Archaea	Candidatus Altiarchaeota
DT02PM02	0.002538	163	1801631	Archaea	Candidatus Micrarchaeota
DT02PM02	0.002507	161	51967	Archaea	Candidatus Korarchaeota
DT02PM02	0.002118	136	743724	Archaea	Candidatus Aenigmarchaeota
DT02PM02	0.000903	58	192989	Archaea	Nanoarchaeota
DT02PM02	0.000778	50	743725	Archaea	Candidatus Diapherotrites
DT02PM02	0.000685	44	1978152	Archaea	Candidatus Marsarchaeota
DT02PM02	0.000607	39	1915410	Archaea	Candidatus Verstraetearchaeota
DT02PM02	0.000374	24	1935021	Archaea	Candidatus Geothermarchaeota
DT02PM02	0.000265	17	1462430	Archaea	Candidatus Nanohaloarchaeota
DT02PM02	0.000187	12	1936271	Archaea	Candidatus Odinarchaeota
DT02PM02	0.000109	7	1935019	Archaea	Candidatus Hydrothermarchaeota
DT02PM02	0.000093	6	1462422	Archaea	Candidatus Parvarchaeota
DT02PM02	0.000047	3	2546568	Archaea	Candidatus Nezhaarchaeota
DT02PM02	0.000016	1	2582950	Archaea	Candidatus Huberarchaea
DT02PM03	0.180985	13042	28890	Archaea	Euryarchaeota
DT02PM03	0.022106	1593	2283796	Archaea	Candidatus Thermoplasmatota
DT02PM03	0.017388	1253	928852	Archaea	Candidatus Bathyarchaeota
DT02PM03	0.017208	1240	651137	Archaea	Thaumarchaeota
DT02PM03	0.01514	1091	28889	Archaea	Crenarchaeota
DT02PM03	0.005537	399	1655434	Archaea	Candidatus Lokiarchaeota
DT02PM03	0.005537	399	1706441	Archaea	Candidatus Thorarchaeota
DT02PM03	0.004788	345	1801616	Archaea	Candidatus Woesearchaeota
DT02PM03	0.0034	245	1936272	Archaea	Candidatus Heimdallarchaeota
DT02PM03	0.00272	196	1801631	Archaea	Candidatus Micrarchaeota
DT02PM03	0.00229	165	743725	Archaea	Candidatus Diapherotrites
DT02PM03	0.002082	150	2582935	Archaea	Candidatus Altiarchaeota
DT02PM03	0.002012	145	51967	Archaea	Candidatus Korarchaeota
DT02PM03	0.001832	132	743724	Archaea	Candidatus Aenigmarchaeota
DT02PM03	0.000847	61	1915410	Archaea	Candidatus Verstraetearchaeota
DT02PM03	0.000708	51	192989	Archaea	Nanoarchaeota
DT02PM03	0.000652	47	1978152	Archaea	Candidatus Marsarchaeota
DT02PM03	0.000222	16	1935021	Archaea	Candidatus Geothermarchaeota
DT02PM03	0.000139	10	1462430	Archaea	Candidatus Nanohaloarchaeota
DT02PM03	0.000111	8	1462422	Archaea	Candidatus Parvarchaeota
DT02PM03	0.000111	8	1936271	Archaea	Candidatus Odinarchaeota
DT02PM03	0.000083	6	1935019	Archaea	Candidatus Hydrothermarchaeota
DT02PM03	0.000083	6	2546568	Archaea	Candidatus Nezhaarchaeota
DT02PM03	0.000042	3	2582950	Archaea	Candidatus Huberarchaea
DT02PM10	0.187869	13284	28890	Archaea	Euryarchaeota
DT02PM10	0.022897	1619	2283796	Archaea	Candidatus Thermoplasmatota
DT02PM10	0.018102	1280	928852	Archaea	Candidatus Bathyarchaeota
DT02PM10	0.016575	1172	651137	Archaea	Thaumarchaeota
DT02PM10	0.014157	1001	28889	Archaea	Crenarchaeota
DT02PM10	0.005544	392	1706441	Archaea	Candidatus Thorarchaeota
DT02PM10	0.004752	336	1655434	Archaea	Candidatus Lokiarchaeota
DT02PM10	0.004667	330	1801616	Archaea	Candidatus Woesearchaeota
DT02PM10	0.003154	223	1936272	Archaea	Candidatus Heimdallarchaeota
DT02PM10	0.002164	153	2582935	Archaea	Candidatus Altiarchaeota
DT02PM10	0.001938	137	1801631	Archaea	Candidatus Micrarchaeota
DT02PM10	0.00181	128	51967	Archaea	Candidatus Korarchaeota
DT02PM10	0.001584	112	743724	Archaea	Candidatus Aenigmarchaeota
DT02PM10	0.000849	60	1915410	Archaea	Candidatus Verstraetearchaeota
DT02PM10	0.000665	47	1978152	Archaea	Candidatus Marsarchaeota
DT02PM10	0.000552	39	743725	Archaea	Candidatus Diapherotrites
DT02PM10	0.000438	31	192989	Archaea	Nanoarchaeota
DT02PM10	0.000424	30	1462430	Archaea	Candidatus Nanohaloarchaeota
DT02PM10	0.000297	21	1935019	Archaea	Candidatus Hydrothermarchaeota
DT02PM10	0.000156	11	1936271	Archaea	Candidatus Odinarchaeota
DT02PM10	0.000127	9	2546568	Archaea	Candidatus Nezhaarchaeota
DT02PM10	0.000113	8	1935021	Archaea	Candidatus Geothermarchaeota
DT02PM10	0.000057	4	1462422	Archaea	Candidatus Parvarchaeota
DT02PM10	0.000042	3	2582950	Archaea	Candidatus Huberarchaea
DT04PM03	0.150292	10186	28890	Archaea	Euryarchaeota
DT04PM03	0.018502	1254	2283796	Archaea	Candidatus Thermoplasmatota
DT04PM03	0.014401	976	928852	Archaea	Candidatus Bathyarchaeota
DT04PM03	0.013073	886	651137	Archaea	Thaumarchaeota
DT04PM03	0.012792	867	28889	Archaea	Crenarchaeota
DT04PM03	0.004308	292	1706441	Archaea	Candidatus Thorarchaeota
DT04PM03	0.004131	280	1655434	Archaea	Candidatus Lokiarchaeota
DT04PM03	0.004028	273	1801616	Archaea	Candidatus Woesearchaeota
DT04PM03	0.002376	161	1936272	Archaea	Candidatus Heimdallarchaeota
DT04PM03	0.001933	131	1801631	Archaea	Candidatus Micrarchaeota
DT04PM03	0.001505	102	51967	Archaea	Candidatus Korarchaeota
DT04PM03	0.00149	101	2582935	Archaea	Candidatus Altiarchaeota
DT04PM03	0.001431	97	743724	Archaea	Candidatus Aenigmarchaeota
DT04PM03	0.000856	58	1978152	Archaea	Candidatus Marsarchaeota
DT04PM03	0.000649	44	743725	Archaea	Candidatus Diapherotrites
DT04PM03	0.000487	33	192989	Archaea	Nanoarchaeota
DT04PM03	0.000457	31	1915410	Archaea	Candidatus Verstraetearchaeota
DT04PM03	0.000236	16	1936271	Archaea	Candidatus Odinarchaeota
DT04PM03	0.000221	15	1935019	Archaea	Candidatus Hydrothermarchaeota
DT04PM03	0.000192	13	1935021	Archaea	Candidatus Geothermarchaeota
DT04PM03	0.000177	12	1462430	Archaea	Candidatus Nanohaloarchaeota
DT04PM03	0.000074	5	1462422	Archaea	Candidatus Parvarchaeota
DT04PM03	0.000044	3	2546568	Archaea	Candidatus Nezhaarchaeota
DT04PM03	0.000044	3	2582950	Archaea	Candidatus Huberarchaea
DT04PM07	0.142698	9920	28890	Archaea	Euryarchaeota
DT04PM07	0.018053	1255	2283796	Archaea	Candidatus Thermoplasmatota
DT04PM07	0.013925	968	28889	Archaea	Crenarchaeota
DT04PM07	0.013622	947	928852	Archaea	Candidatus Bathyarchaeota
DT04PM07	0.011508	800	651137	Archaea	Thaumarchaeota
DT04PM07	0.003898	271	1801616	Archaea	Candidatus Woesearchaeota
DT04PM07	0.003812	265	1706441	Archaea	Candidatus Thorarchaeota
DT04PM07	0.003754	261	1655434	Archaea	Candidatus Lokiarchaeota
DT04PM07	0.002273	158	1936272	Archaea	Candidatus Heimdallarchaeota
