sampleid	Site	Site2	Ecotype	Region	Year	Host	Niche	Host2	Primer	Altitude	Longitude	Latitude	C	N	S	Ag_ppm	As_ppm	Ba_ppm	Cd_ppm	Co_ppm	Cr_ppm	Cu_ppm	Fe_ppm	Mn_ppm	Mo_ppm	Ni_ppm	P_ppm	Pb_ppm	Sn_ppm	Zn_ppm	NH4_ppm	NO3_ppm	pH_CaCl2	K_rs_cm
DT02PM02	DT02	DT02	Disturbed	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	719.715881	-67.310167	52.8682	4.4202	0.11535	0.0123	2.263	0	80.25	0.926	3.395	21.91	19.14	17691	198.1	0.617	11.73	1046	19.14	6.173	9.259	3.9	14.7	5.04	84.63
DT02PM03	DT02	DT02	Disturbed	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	719.715881	-67.310167	52.8682	10.312	0.20869	0.0219	1.007	0	54.08	1.208	3.323	13.29	13.6	31556	308.2	0.151	9.668	456.2	33.23	5.237	11.18	4	17.4	4.95	124.8
DT02PM10	DT02	DT02	Disturbed	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	719.715881	-67.310167	52.8682	4.1753	0.13643	0.0115	1.41	0	57.25	1.692	3.948	14.95	18.05	46957	510.4	0.987	10.15	496.3	35.25	6.298	14.38			4.83	135.5
DT04PM03	DT04	DT04	Disturbed	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	712.576294	-67.243478	52.853729	1.7437	0.05551	0.0109	4.836	0	26.23	3.627	3.906	8.092	18.69	78022	258.9	0	7.813	267.9	86.77	5.115	14.23	3.6	5.4	5.06	87.83
DT04PM07	DT04	DT04	Disturbed	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	712.576294	-67.243478	52.853729	2.2681	0.06209	0.00845	4.125	0	20.79	3.465	5.446	6.436	25.25	94886	303	0	8.416	262.4	98.02	7.921	15.35	3.8	2	5.09	83.26
DT06PM10	DT06	DT06	Disturbed	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	637	-67.121778	54.895785	2.2322	0.16429	0.0142	2.945	15.85	59.77	2.599	14.55	32.74	49.9	66876	1143	3.638	35.34	514.6	72.77	7.103	101.9	3.7	42.4	5.29	76.45
DT08PM01	DT08	DT08	Disturbed	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	625	-67.034275	54.89482	2.7648	0.12859	0.00935	7.016	6.014	34.36	3.436	4.296	17.61	20.19	73810	309.7	1.933	9.45	322.2	65.29	5.441	17.61	9.9	16.1	3.17	115.6
DT09PM03	DT09	DT09	Disturbed	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	746	-67.297403	55.071151	25.243	0.84626	0.081	7.467	6.435	61.49	2.86	4.29	13.82	26.22	67083	991.4	1.192	12.87	619.6	79.12	7.626	35.75			3.15	143.7
DT10PM04	DT10	DT10	Disturbed	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	690	-67.094523	54.892973	0.32279	0.02986	0.00517	4.959	12.49	42.51	6.376	9.564	10.1	31.35	154586	1748	0.266	13.28	292.2	178	11.51	31.88	3.2	8.8	94.05	5.48
DT10PM09	DT10	DT10	Disturbed	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	690	-67.094523	54.892973	1.3013	0.05586	0.0101	5.243	11.44	45.76	4.766	6.196	15.25	43.85	122102	710.2	2.145	13.82	228.8	111.5	10.17	33.37	2.6	6.3	79.62	4.52
NT02PM01	NT02	NT02	Natural	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	650	-67.46935	52.3537	11.776	0.3167	0.0289	5.639	5.311	92.45	1.18	6.688	40.13	23.21	13269	185.3	0	19.28	688.4	26.75	10.62	26.75	10.4	40.9	3.99	90
NT02PM03	NT02	NT02	Natural	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	650	-67.46935	52.3537	44.394	0.82449	0.106	7.036	0	36.5	0.88	0.88	1.759	9.235	1328	68.6	0	2.639	743.2	15.39	0	25.95	5.9	42.6	3.18	230
NT02PM04	NT02	NT02	Natural	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	650	-67.46935	52.3537	42.172	0.82271	0.138	0	1.386	54.99	0.462	0.924	1.848	8.318	859.5	70.7	0.231	2.311	582.3	9.7	0	28.19			3.05	277.2
NT02PM10	NT02	NT02	Natural	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	650	-67.46935	52.3537	46.649	0.80171	0.107	0.158	0	78.27	0.474	0.949	4.269	11.86	1034	195.4	0.237	2.846	801.7	16.13	1.581	38.43			3.11	292.8
NT05PM09	NT05	NT05	Natural	Fermont	2022	Picea mariana	Bulk soil	Soil	ITS	646	-67.144715	52.784147	36.182	0.83895	0.0798	0	3.375	91.38	1.558	3.115	12.98	18.17	26812	420.6	0.779	8.827	856.7	50.88	3.981	30.63			3.85	100.38
NT06PM03	NT06	NT06	Natural	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	637	-67.121778	54.895785	43.411	1.0961	0.089	4.198	0	32.75	1.259	2.519	3.778	47.86	16486	887.9	0	5.038	579.3	28.97	0.63	51.01			241.5	4.84
NT06PM04	NT06	NT06	Natural	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	637	-67.121778	54.895785	31.755	0.9931	0.0921	10.1	9.199	77.38	1.623	4.329	18.4	47.62	30011	1721	4.87	14.61	579	36.8	5.051	69.26			4.84	241.5
NT08PM03	NT08	NT08	Natural	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	625	-67.034275	54.89482	48.881	0.99643	0.103	2.673	0	33.02	0.943	0.943	2.83	12.26	2509	314.2	0.472	4.245	1000	12.26	1.101	69.81			72.28	4.06
NT09PM08	NT09	NT09	Natural	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	746	-67.297403	55.071151	45.708	1.316	0.159	6.474	0.996	85.16	1.992	1.494	5.976	14.94	3725	31.4	0.996	4.98	737.1	27.39	2.822	42.83			3.71	116.86
NT10PM03	NT10	NT10	Natural	Schefferville	2022	Picea mariana	Bulk soil	Soil	ITS	690	-67.094523	54.892973	25.106	0.61725	0.0512	6.282	0.577	85.77	0.769	1.538	10	20.77	11458	195.8	1.154	8.462	592.3	18.46	1.282	46.54			3.08	166.2
