accession	Kingdom	Phylum	Class	Order	Family	Genus	OTU
K00001						alcohol dehydrogenase [EC:1.1.1.1]	K00001
K00002						alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	K00002
K00003						homoserine dehydrogenase [EC:1.1.1.3]	K00003
K00004						"(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase [EC:1.1.1.4 1.1.1.- 1.1.1.303]"	K00004
K00005						glycerol dehydrogenase [EC:1.1.1.6]	K00005
K00006						glycerol-3-phosphate dehydrogenase (NAD+) [EC:1.1.1.8]	K00006
K00007						D-arabinitol 4-dehydrogenase [EC:1.1.1.11]	K00007
K00008						L-iditol 2-dehydrogenase [EC:1.1.1.14]	K00008
K00009						mannitol-1-phosphate 5-dehydrogenase [EC:1.1.1.17]	K00009
K00010						myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase [EC:1.1.1.18 1.1.1.369]	K00010
K00012						UDPglucose 6-dehydrogenase [EC:1.1.1.22]	K00012
K00013						histidinol dehydrogenase [EC:1.1.1.23]	K00013
K00014						shikimate dehydrogenase [EC:1.1.1.25]	K00014
K00015						glyoxylate reductase [EC:1.1.1.26]	K00015
K00016						L-lactate dehydrogenase [EC:1.1.1.27]	K00016
K00018						glycerate dehydrogenase [EC:1.1.1.29]	K00018
K00019						3-hydroxybutyrate dehydrogenase [EC:1.1.1.30]	K00019
K00020						3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020
K00021						hydroxymethylglutaryl-CoA reductase (NADPH) [EC:1.1.1.34]	K00021
K00022						3-hydroxyacyl-CoA dehydrogenase [EC:1.1.1.35]	K00022
K00023						acetoacetyl-CoA reductase [EC:1.1.1.36]	K00023
K00024						malate dehydrogenase [EC:1.1.1.37]	K00024
K00026						malate dehydrogenase [EC:1.1.1.37]	K00026
K00027						malate dehydrogenase (oxaloacetate-decarboxylating) [EC:1.1.1.38]	K00027
K00029						malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+) [EC:1.1.1.40]	K00029
K00030						isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]	K00030
K00031						isocitrate dehydrogenase [EC:1.1.1.42]	K00031
K00033						6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033
K00034						glucose 1-dehydrogenase [EC:1.1.1.47]	K00034
K00035						D-galactose 1-dehydrogenase [EC:1.1.1.48]	K00035
K00036						glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]	K00036
K00038						3alpha(or 20beta)-hydroxysteroid dehydrogenase [EC:1.1.1.53]	K00038
K00039						ribitol 2-dehydrogenase [EC:1.1.1.56]	K00039
K00040						fructuronate reductase [EC:1.1.1.57]	K00040
K00041						tagaturonate reductase [EC:1.1.1.58]	K00041
K00042						2-hydroxy-3-oxopropionate reductase [EC:1.1.1.60]	K00042
K00043						4-hydroxybutyrate dehydrogenase [EC:1.1.1.61]	K00043
K00045						mannitol 2-dehydrogenase [EC:1.1.1.67]	K00045
K00046						gluconate 5-dehydrogenase [EC:1.1.1.69]	K00046
K00050						hydroxypyruvate reductase [EC:1.1.1.81]	K00050
K00052						3-isopropylmalate dehydrogenase [EC:1.1.1.85]	K00052
K00053						ketol-acid reductoisomerase [EC:1.1.1.86]	K00053
K00054						hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]	K00054
K00055						aryl-alcohol dehydrogenase [EC:1.1.1.90]	K00055
K00057						glycerol-3-phosphate dehydrogenase (NAD(P)+) [EC:1.1.1.94]	K00057
